workspace	env	path	key	source
shared-infrastructure	prod	/postgres	DATABASE_URL	prod-wambesh-env
shared-infrastructure	prod	/postgres	DATABASE_USERNAME	prod-wambesh-env
shared-infrastructure	prod	/postgres	DATABASE_PASSWORD	prod-wambesh-env
shared-infrastructure	prod	/postgres	WAMBESH_MONITOR_DB_PASSWORD	prod-wambesh-env
shared-infrastructure	prod	/redis	REDIS_HOST	prod-wambesh-env
shared-infrastructure	prod	/redis	REDIS_PORT	prod-wambesh-env
shared-infrastructure	prod	/redis	REDIS_PASSWORD	prod-wambesh-env
shared-infrastructure	prod	/redis	REDIS_SSL	prod-wambesh-env
shared-infrastructure	prod	/maxmind	MAXMIND_LICENSE_KEY	prod-wambesh-env
shared-infrastructure	prod	/maxmind	MAXMIND_ACCOUNT_ID	prod-wambesh-env
backend-shared	prod	/email	RESEND_API_KEY	prod-wambesh-env
backend-shared	prod	/email	ALERT_RECIPIENT_EMAIL	prod-wambesh-env
backend-shared	prod	/twilio	TWILIO_ACCOUNT_SID	prod-wambesh-env
backend-shared	prod	/twilio	TWILIO_AUTH_TOKEN	prod-wambesh-env
backend-shared	prod	/twilio	TWILIO_VERIFY_SERVICE_SID	prod-wambesh-env
backend-shared	prod	/push	VAPID_PUBLIC_KEY	prod-wambesh-env
backend-shared	prod	/push	VAPID_PRIVATE_KEY	prod-wambesh-env
backend-shared	prod	/translation	GOOGLE_TRANSLATE_API_KEY	prod-wambesh-env
backend-shared	prod	/avatars	AVATARS_R2_ENDPOINT	prod-wambesh-env
backend-shared	prod	/avatars	AVATARS_R2_ACCESS_KEY_ID	prod-wambesh-env
backend-shared	prod	/avatars	AVATARS_R2_SECRET_ACCESS_KEY	prod-wambesh-env
backend-shared	prod	/avatars	AVATARS_R2_BUCKET_NAME	prod-wambesh-env
backend-shared	prod	/avatars	AVATARS_R2_PUBLIC_URL	prod-wambesh-env
backend-shared	prod	/rbac	NEW_USER_DEFAULT_ROLE	prod-wambesh-env
backend-shared	prod	/rbac	NO_ROLE_FALLBACK	prod-wambesh-env
backend-shared	prod	/rbac	ERROR_FALLBACK	prod-wambesh-env
wambesh	prod	/oauth	GITHUB_CLIENT_ID	prod-wambesh-env
wambesh	prod	/oauth	GITHUB_CLIENT_SECRET	prod-wambesh-env
wambesh	prod	/oauth	GOOGLE_CLIENT_ID	prod-wambesh-env
wambesh	prod	/oauth	GOOGLE_CLIENT_SECRET	prod-wambesh-env
wambesh	prod	/admin	ADMIN_USER_EMAIL	prod-wambesh-env
wambesh	prod	/admin	ADMIN_USER_PASSWORD	prod-wambesh-env
wambesh	prod	/admin	ADMIN_USER_USERNAME	prod-wambesh-env
wambesh	prod	/admin	ADMIN_USER_FIRST_NAME	prod-wambesh-env
wambesh	prod	/admin	ADMIN_USER_LAST_NAME	prod-wambesh-env
wambesh	prod	/admin	ADMIN_USER_ROLE	prod-wambesh-env
wambesh	prod	/	WAMBESH_EMAIL_WORKER_API_KEY	prod-wambesh-env
wambesha	prod	/oauth	GITHUB_CLIENT_ID	prod-wambesha-env
wambesha	prod	/oauth	GITHUB_CLIENT_SECRET	prod-wambesha-env
wambesha	prod	/oauth	GOOGLE_CLIENT_ID	prod-wambesha-env
wambesha	prod	/oauth	GOOGLE_CLIENT_SECRET	prod-wambesha-env
wambesha	prod	/admin	ADMIN_USER_EMAIL	prod-wambesha-env
wambesha	prod	/admin	ADMIN_USER_PASSWORD	prod-wambesha-env
wambesha	prod	/admin	ADMIN_USER_USERNAME	prod-wambesha-env
wambesha	prod	/admin	ADMIN_USER_FIRST_NAME	prod-wambesha-env
wambesha	prod	/admin	ADMIN_USER_LAST_NAME	prod-wambesha-env
wambesha	prod	/admin	ADMIN_USER_ROLE	prod-wambesha-env
wambesha	prod	/	WAMBESH_EMAIL_WORKER_API_KEY	prod-wambesha-env
ops-infrastructure	prod	/github	GHCR_PAT	secrets-bundle
ops-infrastructure	prod	/cloudflare	CLOUDFLARE_API_TOKEN	secrets-bundle
ops-infrastructure	prod	/db-backup	WAMBESH_DB_R2_ACCESS_KEY	secrets-bundle
ops-infrastructure	prod	/db-backup	WAMBESH_DB_R2_SECRET_KEY	secrets-bundle
ops-infrastructure	prod	/coolify-backup	WAMBESH_COOLIFY_R2_ACCESS_KEY	secrets-bundle
ops-infrastructure	prod	/coolify-backup	WAMBESH_COOLIFY_R2_SECRET_KEY	secrets-bundle
